Title,Product URL,Image URL,SKU,Price,Stock,Category,Size,Color
Abominable Hoodie,https://gopher1.extrkt.com/?product=abominable-hoodie&attribute_size=L&attribute_color=Blue,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh09-blue_main.jpg,MH09-L-Blue,£69.00,100 in stock,Hoodies & Sweatshirts,L,Blue
Abominable Hoodie,https://gopher1.extrkt.com/?product=abominable-hoodie&attribute_size=L&attribute_color=Green,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh09-green_main.jpg,MH09-L-Green,£69.00,100 in stock,Hoodies & Sweatshirts,L,Green
Abominable Hoodie,https://gopher1.extrkt.com/?product=abominable-hoodie&attribute_size=L&attribute_color=Red,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh09-red_main.jpg,MH09-L-Red,£69.00,100 in stock,Hoodies & Sweatshirts,L,Red
Abominable Hoodie,https://gopher1.extrkt.com/?product=abominable-hoodie&attribute_size=M&attribute_color=Blue,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh09-blue_main.jpg,MH09-M-Blue,£69.00,100 in stock,Hoodies & Sweatshirts,M,Blue
Abominable Hoodie,https://gopher1.extrkt.com/?product=abominable-hoodie&attribute_size=M&attribute_color=Green,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh09-green_main.jpg,MH09-M-Green,£69.00,100 in stock,Hoodies & Sweatshirts,M,Green
Abominable Hoodie,https://gopher1.extrkt.com/?product=abominable-hoodie&attribute_size=M&attribute_color=Red,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh09-red_main.jpg,MH09-M-Red,£69.00,100 in stock,Hoodies & Sweatshirts,M,Red
Abominable Hoodie,https://gopher1.extrkt.com/?product=abominable-hoodie&attribute_size=S&attribute_color=Blue,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh09-blue_main.jpg,MH09-S-Blue,£69.00,100 in stock,Hoodies & Sweatshirts,S,Blue
Abominable Hoodie,https://gopher1.extrkt.com/?product=abominable-hoodie&attribute_size=S&attribute_color=Green,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh09-green_main.jpg,MH09-S-Green,£69.00,100 in stock,Hoodies & Sweatshirts,S,Green
Abominable Hoodie,https://gopher1.extrkt.com/?product=abominable-hoodie&attribute_size=S&attribute_color=Red,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh09-red_main.jpg,MH09-S-Red,£69.00,100 in stock,Hoodies & Sweatshirts,S,Red
Abominable Hoodie,https://gopher1.extrkt.com/?product=abominable-hoodie&attribute_size=XL&attribute_color=Blue,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh09-blue_main.jpg,MH09-XL-Blue,£69.00,100 in stock,Hoodies & Sweatshirts,XL,Blue
